ticker,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,nonDilutedMarketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,beta,priceToSalesTrailing12Months,forwardPE,maxAge,priceHint,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,category,fundFamily,legalType,trailingEps,lastSplitFactor,lastSplitDate,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,latestShareClass,leadInvestor,enterpriseValue,beta,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,enterpriseToRevenue,earningsQuarterlyGrowth,forwardEps,enterpriseToEbitda,maxAge,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,profitMargins,financialCurrency,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,debtToEquity,ebitda,price_used,liquidity_proxy,ev_ebitda_used
MFII11.SA,1,2,73.87,74.0,73.89,74.27,73.87,74.0,73.89,74.27,12.6,0.1706,2026-03-01 21:00:00,2.2489,11.660883,32254,32254,23027,30779,30779.0,73.92,73.93,0,0,328292448.0,386235647,73.2,90.0,158.87996,65.08083,76.915,77.9562,14.3,0.19358332,BRL,,,,,,False,-0.036,6.995066,,1,2,0.70621,4440585,0.0,5e-05,4440585,,,,6.34,,,-0.10938138,0.19319427,1.05,1772409600,,,248955616.0,-0.036,105.997,0.6974726,2024-12-30 21:00:00,2025-12-30 21:00:00,2022-12-30 21:00:00,33144000,5.305,-0.18,,,86400,73.93,none,1.0,0.0,0.79115,0.70621,BRL,136084000,26.108,0,6.083,7.336,46932000,9.005,0.03716,0.06252,46932000,43263248,8004000,-0.18,6.16,,,73.93,2275491.47,
TVRI11.SA,1,2,100.43,100.77,100.46,100.97,100.43,100.77,100.46,100.97,12.6,0.12550001,2026-03-01 21:00:00,0.8151,6.7958083,2869,2869,9828,15342,15342.0,100.51,100.62,,,1600088064.0,1598814466,85.01,104.2,107.49,80.31,100.365,95.08835,0.0,0.0,BRL,,,,,,False,0.169,6.9810653,,1,2,0.77996004,15919690,0.0,0.00178,15919690,,,,14.79,,,0.115888834,0.19319427,1.05,1772409600,,,1598694528.0,0.169,102.888,0.9768875,2019-06-29 21:00:00,2020-06-29 21:00:00,2018-06-29 21:00:00,178770000,6.975,,,,86400,100.51,none,0.99924004,0.0,0.94774,0.77996004,BRL,120000,0.008,0,11.259,11.259,229204000,14.398,0.07308,0.10863,229030000,104112624,168500992,,,,,100.51,1542024.4200000002,
MXRF11.SA,1,2,9.69,9.71,9.7,9.75,9.69,9.71,9.7,9.75,1.2,0.1238,2026-03-01 21:00:00,,13.914286,615882,615882,1816410,1667766,1667766.0,9.73,9.74,0,0,4259548416.0,4237682127,8.99,9.99,14.78167,7.413515,9.6304,9.56955,1.38,0.14241487,BRL,,,,,,False,-0.027,13.718795,,1,2,0.88521004,437325297,0.0,0.03365,437325297,,,,0.7,10:1,2017-05-16 21:00:00,0.07308972,0.19319427,0.1,1772409600,,,,-0.027,9.926,0.9812614,2023-12-30 21:00:00,2024-12-30 21:00:00,2023-06-29 21:00:00,274849984,,0.494,,,86400,9.73,none,0.96621,0.0,0.9424,0.88521004,BRL,,,,0.757,0.998,310489984,1.081,0.103690006,0.107030004,299996992,,-25428000,0.494,0.454,,,9.73,16227363.180000002,
BTCI11.SA,1,2,9.29,9.33,9.29,9.33,9.29,9.33,9.29,9.33,1.12,0.1201,2026-03-08 21:00:00,1.4932001,12.554054,100100,100100,267194,296495,296495.0,9.29,9.3,,,924551744.0,924551687,8.58,9.45,13.333333,6.7,9.3042,9.24125,0.0,0.0,BRL,,,,,,False,,,,1,2,0.0,99521172,0.0,0.02152,99521173,,,,0.74,9:1,2023-01-18 21:00:00,0.053287983,0.19319427,0.093,1773014400,,,,,10.402,0.89309746,,,,,,,,,86400,9.29,none,0.0,0.0,0.0,0.0,BRL,,,,,,,,,,,,,,,,,9.29,2754438.55,
KNCR11.SA,1,2,105.19,105.09,104.91,105.19,105.19,105.09,104.91,105.19,12.0,0.1141,2026-03-01 21:00:00,1.0348,8.680165,85808,85808,189025,232790,232790.0,105.06,105.07,0,0,8059358720.0,8071636416,101.79,107.9,117.8,63.5,105.8218,104.96214,0.0,0.0,BRL,,,,,,False,-0.007,9.738217,,1,2,0.93043,76733876,0.0,0.03193,76733876,,,,12.1,,,0.029256344,0.19319427,1.0,1772409600,,,,-0.007,100.868,1.0414602,2023-06-29 21:00:00,2024-06-29 21:00:00,2023-12-28 21:00:00,770024000,,,,,86400,105.04,none,1.0,0.0,0.92243,0.93043,BRL,,,,0.536,0.536,827601024,14.495,0.14126,0.15479,827601024,,646865024,,,,,105.04,24452261.6,
RBVA11.SA,1,2,9.83,9.85,9.78,9.85,9.83,9.85,9.78,9.85,12.0,0.1075,2023-10-01 21:00:00,0.65029997,,84594,84594,230258,230682,230682.0,9.82,9.83,,,22936172.0,23149866,7.831,10.62,126.91744,7.625,9.9126,9.3471,0.0,0.0,BRL,,,,,,False,0.265056,0.17948893,,1,2,1.50099,0,0.0,0.00035,2810550,,,,-1.11,10:1,2025-05-08 21:00:00,0.2449342,0.19319427,0.09,1772409600,,,1293243008.0,0.265056,10.938,0.8977875,2022-12-30 21:00:00,2023-12-30 21:00:00,,191804992,10.12,,,19.195,86400,9.83,none,0.86230004,0.52723,0.46291,1.50099,BRL,,,,0.493,0.494,127786000,11.027,0.02503,0.15454,110190000,37451248,126755000,,,,67373000.0,9.83,2267604.06,19.195
BRCR11.SA,1,2,48.25,48.0,47.6,48.21,48.25,48.0,47.6,48.21,4.92,0.102,2026-03-08 21:00:00,3.3419,27.051136,16205,16205,47737,29906,29906.0,47.6,47.61,0,0,1268244864.0,1285293246,38.93,51.59,124.08511,38.5,48.5526,43.9907,5.93,0.12290155,BRL,,,,,,False,0.203,17.21171,,1,2,0.63607,26638202,0.0,0.07661,26638202,,,,1.76,,,0.20655167,0.19319427,0.41,1773014400,,,1383687296.0,0.203,86.824,0.5483507,2024-12-30 21:00:00,2025-12-30 21:00:00,2025-03-30 21:00:00,46869000,18.778,-0.224,,,86400,47.61,none,0.93268996,0.0,0.86800003,0.63607,BRL,15787000,0.593,114181000,0.642,0.645,73685000,2.766,0.011030001,0.01888,68725000,5286875,128816000,-0.224,-0.88,4.937,,47.61,1423824.66,
HGBS11.SA,1,2,20.45,20.45,20.3,20.45,20.45,20.45,20.3,20.45,2.04,0.0998,2026-03-01 21:00:00,5.6355,56.527775,130648,130648,205648,219156,219156.0,20.33,20.35,0,0,2627856640.0,2640770054,17.89,20.7,30.68068,12.69242,20.1654,19.73925,0.0,0.0,BRL,,,,,,False,0.011,9.77527,,1,2,1.25573,129133010,0.0,0.05667,129133011,,,,0.36,10:1,2025-05-11 21:00:00,0.094929576,0.19319427,0.17,1772409600,,,2641387008.0,0.011,23.152,0.8785418,2023-12-30 21:00:00,2024-12-30 21:00:00,2023-12-30 21:00:00,337575008,9.826,2.143,,,86400,20.35,none,1.0,0.0,0.93876,1.25573,BRL,2000,0.0,38145000,0.092,0.146,268827008,2.112,0.05688,0.13068,268827008,388857984,157480000,1.469,4.227,1.294,,20.35,4459824.600000001,
VRTA11.SA,1,2,77.6,77.08,77.06,77.56,77.6,77.08,77.06,77.56,8.4,0.0955,2023-10-01 21:00:00,,11.482031,9850,9850,20102,25051,25051.0,77.33,77.38,0,0,1205606272.0,1209972102,74.0,84.29,155.74,70.0,79.1588,78.0543,0.0,0.0,BRL,,,,,,False,0.314392,10.256376,,1,2,0.86421996,15592424,0.0,0.01301,15592424,,,,6.734,,,-0.013726473,0.19319427,0.85,1772409600,,,1370885888.0,0.314392,91.171,0.8480767,2022-12-30 21:00:00,2023-12-30 21:00:00,,101587000,11.662,,,,86400,77.32,none,1.0,0.0,0.87448996,0.86421996,BRL,,,,1.245,1.989,117547000,7.539,0.04843,0.081949994,117547000,164819248,173459008,,,,,77.32,1936943.3199999998,
BTLG11.SA,1,2,103.87,104.1,103.37,104.2,103.87,104.1,103.37,104.2,9.12,0.0912,2023-10-15 21:00:00,,95.66021,49781,49781,171203,121042,121042.0,103.58,103.59,,,4480611840.0,4492289314,95.11,104.59,133.21298,46.446922,102.9896,101.95365,0.0,0.0,BRL,,,,,,False,0.449132,419.96548,,1,2,0.18961,43249151,0.0,0.00386,43249152,,,,1.083,,,0.0853709,0.19319427,0.8,1773619200,,,186727728.0,0.449132,103.429,1.00204,2018-12-30 21:00:00,2019-12-30 21:00:00,,2023000,17.502,,,,86400,103.63,none,0.77374,0.0,0.62593,0.18961,BRL,,,,2.782,2.782,10669000,5.713,0.02328,0.0113,8255000,4110750,5629000,,,,,103.63,12543582.459999999,
