ticker,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,nonDilutedMarketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,dividendRate,dividendYield,fiveYearAvgDividendYield,trailingPE,maxAge,priceHint,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,beta,impliedSharesOutstanding,category,bookValue,priceToBook,fundFamily,legalType,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,latestShareClass,leadInvestor,forwardPE,lastSplitDate,maxAge,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,financialCurrency,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,price_used,liquidity_proxy,ev_ebitda_used
VULC3.SA,1,2,16.33,16.28,15.93,16.28,16.33,16.28,15.93,16.28,2025-12-22 21:00:00,1.2955,0.119,6.60458,364900,364900,1596615,1708710,1708710.0,16.06,16.07,0,0,5024011264.0,5105295681,14.53,22.5,210000.0,0.947205,1.4111254,18.0724,19.604633,5.079,0.31102267,BRL,,,,,,False,7.8,0.47759998,,3.9975123,1,2,5916373504.0,0.32731,111197471,312632926,0.63507,0.20066999,0.119,312632926,,7.763,2.0739405,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,-0.062,1165320960,4.02,2.43316,1:4,1.662,6.766,0.016179204,0.16984439,0.65,1766448000,,,6.6169095,2016-03-16 21:00:00,86400,16.11,none,203970000,0.652,874377984.0,1014699008,2.065,3.267,3560286976,41.803,13.039,0.13828,0.51363,1461024000,-116107504,541593024,-0.073,0.114,0.41037,0.24559,0.17816,0.32731,BRL,26.0,21.0,23.33333,23.0,,6,16.11,27527318.099999998,6.766
RIAA3.SA,1,2,8.64,8.42,8.27,8.49,8.64,8.42,8.27,8.49,2025-12-22 21:00:00,1.0487,0.773,5.71464,674700,674700,2204864,1963220,1963220.0,8.28,8.3,,,4145461504.0,4320481057,8.27,10.91,10.91,8.42,0.39491698,9.722059,9.722059,2.976,0.34444445,BRL,,,,,,False,3.09,0.35810003,3.68,2.8101695,1,2,5542409216.0,0.14053,86969684,500055678,0.7439,0.04953,0.773,500055678,,10.704,0.77447677,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,4.14,1475168000,2.95,1.45066,,0.528,4.757,-0.1101957,0.16984439,2.851961,1766448000,,,5.71464,,86400,8.3,strong_buy,2310841088,4.621,1165222016.0,3532769024,1.283,1.564,10497045504,66.0,21.028,0.04235,0.27429,6348105216,890545984,922561984,4.122,0.059,0.60475,0.111,0.12883,0.14053,BRL,17.0,12.0,13.88889,13.5,1.33333,9,8.3,16294726.000000002,4.757
MBRF3.SA,1,2,17.03,16.9,16.76,17.33,17.03,16.9,16.76,17.33,2025-09-18 21:00:00,3.4006,0.368,26.091213,13656000,13656000,9775615,9069540,9069540.0,17.06,17.07,,,23916685312.0,23874628083,14.59,27.66,27.900906,3.450325,0.14765078,18.9106,20.52055,0.0,0.0,BRL,,,,,,False,5.64,0.3314,,10.277108,1,2,74562715648.0,0.01757,817070542,1401915918,0.47245997,0.48893002,0.368,1401915918,,8.498,2.0075312,,,2024-12-30 21:00:00,2025-12-30 21:00:00,2025-09-29 21:00:00,0.188,1484247040,1.66,0.65386,,0.46,6.946,-0.0011730194,0.16984439,2.833731,1734048000,,,400.84586,,86400,17.07,buy,22402078720,15.67,10734427136.0,69851791360,0.701,1.095,161981431808,468.294,186.391,0.02563,0.11405,20297330688,5207777280,19166228480,4.477,0.067,0.12531,0.06627,0.037609998,0.01757,BRL,30.5,16.3,24.80667,25.3,2.2,15,17.07,154817047.8,6.946
JSLG3.SA,1,2,6.14,6.0,5.87,6.12,6.14,6.0,5.87,6.12,2025-12-29 21:00:00,1.2709,0.598,5.6358013,323900,323900,1493232,1861330,1861330.0,5.88,5.89,0,0,1677969280.0,1752165150,5.0,8.75,14.08,4.38,0.17338777,7.426,6.35455,0.421,0.06856678,BRL,,,,,,False,1.91,0.31129998,5.53,17.818182,1,2,8233894912.0,0.00972,68795426,285368917,0.75564003,0.05806,0.598,285368917,,6.456,0.9092317,,,2024-12-30 21:00:00,2025-12-30 21:00:00,2025-09-29 21:00:00,-0.587,94104000,0.33,1.04333,,0.851,4.758,0.1023339,0.16984439,1.911527,1767052800,,,5.6262164,,86400,5.88,buy,1649634944,5.8,1730563968.0,8137120768,1.614,1.882,9677552640,443.158,34.025,0.05612,0.05096,1538296960,230552752,995608000,-0.587,0.056,0.15896,0.17882,0.120979995,0.00972,BRL,18.0,8.0,12.0875,10.15,1.625,8,5.88,10944620.4,4.758
POMO4.SA,1,2,5.86,5.8,5.69,5.8,5.86,5.8,5.69,5.8,2025-11-24 21:00:00,1.1701,0.09,5.1749363,3514800,3514800,11401659,12464560,12464560.0,5.73,5.74,0,0,7108517376.0,7134508910,5.263636,9.018181,9.018181,0.184168,0.7848169,6.3274,7.0516543,0.0,0.0,BRL,,,,,,False,1.15,0.19549999,5.86,5.8469386,1,2,8884124672.0,0.13506,782118784,789632978,0.08099,1.46961,0.09,1240578960,,3.089,1.8549693,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,0.084,1223348992,0.98,1.10726,11:10,0.981,5.688,-0.0921126,0.16984439,0.709091,1764028800,,,5.1749363,2025-12-25 21:00:00,86400,5.75,strong_buy,2221810944,1.791,1561808000.0,3772905984,1.254,1.891,9057548288,96.852,7.307,0.09401,0.30973,2314292992,491715872,1438765056,0.1,-0.036,0.25551,0.17243,0.16834,0.13506,BRL,11.0,8.0,9.52,9.75,1.4,10,5.75,71671220.0,5.688
DIRR3.SA,1,2,13.9,13.57,13.41,13.82,13.9,13.57,13.41,13.82,2025-12-16 21:00:00,1.4778,0.171,5.9473686,1073700,1073700,7763303,8389180,8389180.0,13.57,13.58,0,0,7055957504.0,7232876967,10.353333,19.04,19.04,0.999198,1.6246705,14.8022,15.094833,0.0,0.0,BRL,,,,,,False,2.64,0.1899,6.4,9.04,1,2,8412500992.0,0.18175,330822497,520350861,0.28026,0.51315,0.171,520350861,,3.693,3.677227,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,0.165,789342016,1.5,2.28,3:1,1.937,7.906,0.31587255,0.16984439,1.55,1765929600,,,5.9561405,2025-08-10 21:00:00,86400,13.62,strong_buy,2182799104,4.206,1064041024.0,2978202880,2.493,3.78,4343008256,128.362,8.355,0.05317,0.43120998,1722417024,-449521504,398423008,0.156,0.326,0.3966,0.245,0.27282,0.18175,BRL,23.0,17.0,20.5,20.5,1.5,12,13.62,114260631.6,7.906
ABEV3.SA,1,2,14.74,14.52,14.44,14.69,14.74,14.52,14.44,14.69,2025-12-18 21:00:00,1.7388,0.285,13.018816,5804000,5804000,27258862,24703280,24703280.0,14.61,14.63,0,0,228317151232.0,230191163710,11.68,16.77,24.56,0.468107,2.587384,15.2404,13.53135,1.114,0.07557666,BRL,,,,,,False,2.39,0.1619,5.1,14.767676,1,2,214115336192.0,0.17569,4277366471,15616768230,0.71943,0.0952,0.285,15616768230,,5.63,2.5968027,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,-0.109,15503399936,0.99,1.12299,5:1,2.426,7.867,0.08382356,0.16984439,1.4502,1766102400,,,13.018816,2013-11-11 21:00:00,86400,14.62,hold,20319920128,1.301,27218567168.0,3386924032,0.664,0.962,88242470912,3.815,5.65,0.091359995,0.16976999,45378338816,12534329344,24450283520,-0.101,-0.082,0.51425,0.30844998,0.28194,0.17569,BRL,20.0,11.0,15.08889,15.0,3.11111,18,14.62,361161953.59999996,7.867
UNIP6.SA,1,2,63.15,63.1,61.84,63.88,63.15,63.1,61.84,63.88,2025-12-07 21:00:00,0.8875,0.383,17.054495,72600,72600,296286,392220,392220.0,62.44,62.75,0,0,6986430464.0,6979062775,52.21,80.77,106.36363,1.493506,1.2613631,65.0754,63.69785,0.0,0.0,BRL,,,,,,False,10.18,0.1612,9.52,9.4689865,1,2,8665235456.0,0.14191,59497956,70245280,0.25882998,0.24691999,0.383,111622153,,22.131,2.83313,,,2024-12-30 21:00:00,2025-12-30 21:00:00,2025-09-29 21:00:00,-0.079,786012992,6.61,3.67,11:10,1.564,5.914,0.19829226,0.16984439,6.476802,1765152000,,,17.084469,2024-04-18 21:00:00,86400,62.65,none,1715798016,15.371,1465275008.0,3318008064,2.558,3.176,5538793984,133.554,49.324,0.09387,0.29680002,1669154944,-397063264,1327422976,-0.102,-0.084,0.30136,0.26455,0.14751,0.14191,BRL,70.0,58.0,64.0,64.0,,2,62.65,24572583.0,5.914
FESA4.SA,1,2,7.24,7.19,7.05,7.19,7.24,7.19,7.05,7.19,2025-11-05 21:00:00,2.0958,,5.1,233300,233300,805682,723920,723920.0,7.14,7.15,0,0,2419514624.0,2972017424,6.02,8.9,15.55,0.125,1.036437,7.7062,6.99585,0.0,0.0,BRL,,,,,,False,1.15,0.1586,5.31,13.730769,1,2,1877155456.0,0.080819994,160379258,221267600,0.26392,0.17015,,338867600,,9.692,0.73669,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,-0.211,188676000,0.52,1.4,4:1,0.804,5.776,-0.069408715,0.16984439,0.649041,1762387200,,,,2024-01-23 21:00:00,86400,7.15,none,989596992,2.92,324988992.0,411673984,2.182,3.064,2334454016,12.528,6.889,0.0066500003,0.056939997,411145984,243797744,403185984,-0.207,-0.008,0.17612,0.13921,0.00728,0.080819994,BRL,,,,,,,7.15,5176028.0,5.776
TGMA3.SA,1,2,28.26,28.25,27.47,28.27,28.26,28.25,27.47,28.27,2025-12-02 21:00:00,1.2038,0.07,5.4744096,124200,124200,341325,903720,903720.0,27.87,27.9,0,0,1833729408.0,1863401436,27.47,40.89,41.55,2.86,0.82398957,37.6436,36.579,3.84,0.1358811,BRL,,,,,,False,4.43,0.1568,6.92,7.557065,1,2,1951558400.0,0.10918,20941836,65937772,0.51417,0.39257,0.07,65937772,,13.228,2.1046267,,,2025-12-30 21:00:00,2026-12-30 21:00:00,2025-12-30 21:00:00,-0.386,242963008,3.68,5.08,,0.877,6.05,-0.1925714,0.16984439,1.52,1764720000,,,5.480315,,86400,27.87,buy,113860000,1.727,322585984.0,202016992,2.06,2.099,2225427968,23.161,33.75,0.14126,0.27091998,429153984,136487632,243240000,-0.386,-0.023,0.19284001,0.14495,0.1086,0.10918,BRL,45.7,43.5,44.6,44.6,2.5,2,27.87,25186676.400000002,6.05
